Word(s),Spoken Form (If Different)
API,A P I
DNS
Github
Gmail
PR
PRs
URL, U R L
VPN
admin
app
arg
args
async
cheatsheet
config
css
csv
debounce
debounced
cursorless
delimiter
delimiters
dir
doc,dock
docs,docks
edit
edits
enum,eenum
fifo
flashcard,flash card
flashcards,flash cards
fontello
git
html
infer
json,jason
karabiner
knausj,mouse jay
matcher
matchers
meta
min
misrecognized
mkfifo,make fifo
node
null
parser
parsers
snippet
subwords
svg
timeout
todo,to do
tuple
uri,you are I
util,you till
vscode,van cake
walkthrough
walkthroughs
wiki
parse tree
javascript
modal
branchless
tokenizer
ide
eslint
tsconfig
LaTeX,lay tech
scope
qlik
qliksense, click sense
chatgpt, chat intel
larkinfolab, lark
header, heather
headers, heathers
npm, neep
npm, neeper
npm, nipper
